date, pm25, pm10, o3, no2, so2, co
2024/3/22, 47, 15, 39, 12, , 
2024/3/23, 60, 4, 32, 6, , 
2024/3/24, 19, 9, 30, 12, , 
2024/3/25, 42, 16, 26, 20, , 
2024/3/26, 64, 20, 25, 13, , 
2024/3/27, 76, 2, 30, 5, , 
2024/3/28, 15, 7, 29, 8, , 
2024/3/29, 39, 14, 28, 11, , 
2024/3/30, 63, 27, 31, 9, , 
2024/3/31, 99, 34, 35, 3, , 
2023/10/1, 74, 19, 21, 14, , 
2023/10/2, 59, 19, 20, 13, , 
2023/10/3, 55, 19, 23, 12, , 
2023/10/4, 47, 20, 22, 16, , 
2023/10/5, 50, 22, 29, 16, , 
2023/10/6, 57, 19, 25, 14, , 
2023/10/7, 57, 14, 23, 6, , 
2023/10/8, 38, 12, 21, 11, , 
2023/10/9, 29, 21, 18, 13, , 
2023/10/10, 55, 26, 17, 15, , 
2023/10/11, 67, 24, 25, 13, , 
2023/10/12, 67, 27, 25, 12, , 
2023/10/13, 72, 23, 26, 4, , 
2023/10/14, 69, 8, 19, 6, , 
2023/10/15, 31, 12, 13, 11, , 
2023/10/16, 46, 23, 19, 13, , 
2023/10/17, 71, 35, 18, 14, , 
2023/10/18, 98, 33, 6, 16, , 
2023/10/19, 90, 33, 19, 16, , 
2023/10/20, 69, 12, 16, 9, , 
2023/10/21, 36, 7, 18, 9, , 
2023/10/22, 23, 11, 18, 13, , 
2023/10/23, 37, 15, 15, 15, , 
2023/10/24, 39, 8, 24, 12, , 
2023/10/25, 25, 8, 20, 8, , 
2023/10/26, 23, 7, 11, 11, , 
2023/10/27, 25, 11, 16, 11, , 
2023/10/28, 37, 13, 21, 11, , 
2023/10/29, 44, 15, 21, 15, , 
2023/10/30, 40, 8, 19, 12, , 
2023/10/31, 29, 15, 10, 8, , 
2023/11/1, 52, 14, 18, 11, , 
2023/11/2, 44, 9, 24, 13, , 
2023/11/3, 29, 14, 13, 11, , 
2023/11/4, 47, 9, 25, 6, , 
2023/11/5, 31, 12, 22, 14, , 
2023/11/6, 38, 15, 12, 12, , 
2023/11/7, 53, 15, 14, 13, , 
2023/11/8, 51, 22, 13, 14, , 
2023/11/9, 70, 22, 9, 15, , 
2023/11/10, 73, 15, 19, 11, , 
2023/11/11, 49, 31, 5, 12, , 
2023/11/12, 94, 25, 6, 13, , 
2023/11/13, 77, 23, 8, 17, , 
2023/11/14, 68, 20, 9, 15, , 
2023/11/15, 65, 42, 2, 14, , 
2023/11/16, 115, 23, 18, 13, , 
2023/11/17, 68, 31, 14, 14, , 
2023/11/18, 93, 41, 8, 14, , 
2023/11/19, 119, 53, 7, 20, , 
2023/11/20, 128, 27, 12, 16, , 
2023/11/21, 77, 9, 17, 5, , 
2023/11/22, 37, 28, 7, 14, , 
2023/11/23, 82, 25, 16, 12, , 
2023/11/24, 75, 8, 22, 10, , 
2023/11/25, 32, 22, 16, 13, , 
2023/11/26, 71, 41, 7, 17, , 
2023/11/27, 112, 37, 3, 20, , 
2023/11/28, 107, 26, 12, 13, , 
2023/11/29, 79, 41, 4, 14, , 
2023/11/30, 116, 29, 4, 8, , 
2023/12/1, 89, 16, 5, 7, , 
2023/12/2, 59, 27, 14, 12, , 
2023/12/3, 85, 51, 6, 15, , 
2023/12/4, 143, 38, 18, 14, , 
2023/12/5, 113, 30, 6, 13, , 
2023/12/6, 93, 49, 3, 18, , 
2023/12/7, 127, 64, 2, 19, , 
2023/12/8, 157, 36, 8, 9, , 
2023/12/9, 109, 26, 8, 7, , 
2023/12/10, 81, 30, 5, 12, , 
2023/12/11, 91, 51, 2, 17, , 
2023/12/12, 140, 43, 2, 22, , 
2023/12/13, 117, 20, 13, 18, , 
2023/12/14, 64, 20, 12, 10, , 
2023/12/15, 65, 25, 10, 13, , 
2023/12/16, 78, 44, 8, 13, , 
2023/12/17, 121, 68, 5, 21, , 
2023/12/18, 161, 78, 9, 24, , 
2023/12/19, 174, 74, 37, 20, , 
2023/12/20, 169, 53, 6, 18, , 
2023/12/21, 145, 34, 7, 21, , 
2023/12/22, 96, 47, 16, 16, , 
2023/12/23, 122, 58, 11, 14, , 
2023/12/24, 153, 19, 20, 6, , 
2023/12/25, 64, 19, 22, 7, , 
2023/12/26, 62, 42, 7, 19, , 
2023/12/27, 116, 22, 22, 9, , 
2023/12/28, 72, 17, 19, 13, , 
2023/12/29, 57, 24, 15, 15, , 
2023/12/30, 77, , , , , 
2023/7/1, 37, 10, 36, 6, , 
2023/7/2, 43, 9, 35, 6, , 
2023/7/3, 35, 7, 34, 8, , 
2023/7/4, 30, 12, 34, 10, , 
2023/7/5, 44, 6, 38, 7, , 
2023/7/6, 22, 10, 36, 12, , 
2023/7/7, 34, 11, 42, 11, , 
2023/7/8, 37, 13, 41, 10, , 
2023/7/9, 48, 15, 36, 15, , 
2023/7/10, 49, 19, 42, 12, , 
2023/7/11, 56, 18, 35, 9, , 
2023/7/12, 44, 12, 40, 7, , 
2023/7/13, 34, 5, 41, 5, , 
2023/7/14, 21, 11, 35, 10, , 
2023/7/15, 39, 13, 45, 7, , 
2023/7/16, 49, 16, 36, 11, , 
2023/7/17, 50, 15, 40, 8, , 
2023/7/18, 41, 11, 29, 6, , 
2023/7/19, 30, 8, , , , 
2023/7/20, 33, 8, 38, 9, , 
2023/7/21, 30, 13, , , , 
2023/7/22, 53, 13, , , , 
2023/7/23, 55, 16, , , , 
2023/7/24, 56, 14, , , , 
2023/7/25, 50, 4, , , , 
2023/7/26, 19, 4, 27, 9, , 
2023/7/27, 16, 12, 8, 15, , 
2023/7/28, 52, , , , , 
2023/7/30, 35, 7, 30, 9, , 
2023/7/31, 28, 11, 36, 8, , 
2023/8/1, 41, 3, 31, 6, , 
2023/8/2, 14, 10, 27, 8, , 
2023/8/3, 40, 4, 21, 6, , 
2023/8/4, 19, 2, 20, 3, , 
2023/8/5, 12, , , , , 
2023/8/7, 13, 4, 25, 9, , 
2023/8/8, 15, 8, 22, 9, , 
2023/8/9, 31, 8, 29, 7, , 
2023/8/10, 28, 9, 36, 12, , 
2023/8/11, 36, 12, 37, 11, , 
2023/8/12, 40, 13, 42, 9, , 
2023/8/13, 49, 22, 41, 12, , 
2023/8/14, 65, 18, 43, 9, , 
2023/8/15, 60, 18, 43, 12, , 
2023/8/16, 59, 18, 45, 10, , 
2023/8/17, 62, 19, 38, 11, , 
2023/8/18, 61, 19, 32, 10, , 
2023/8/19, 65, 20, 40, 10, , 
2023/8/20, 67, 22, 42, 15, , 
2023/8/21, 69, 20, 45, 16, , 
2023/8/22, 62, 24, 43, 15, , 
2023/8/23, 67, 22, 40, 13, , 
2023/8/24, 68, 22, 33, 14, , 
2023/8/25, 68, 25, 31, 10, , 
2023/8/26, 75, 24, 36, 11, , 
2023/8/27, 76, 18, 30, 9, , 
2023/8/28, 51, 12, 25, 7, , 
2023/8/29, 38, 3, 19, 6, , 
2023/8/30, 15, 4, 27, 10, , 
2023/8/31, 19, 10, 26, 11, , 
