date, pm25, pm10, no2, so2, co
2023/1/21, , 16, 11, , 
2023/1/22, , 11, 8, 4, 
2023/1/23, , 12, 13, , 
2023/1/24, , 23, 19, 3, 
2023/1/25, , 29, 17, , 
2023/1/26, , 27, 16, 4, 
2023/2/1, , 47, 27, 4, 
2023/2/2, , 32, 18, , 
2023/2/3, , 20, 18, 4, 
2023/2/4, , 18, 12, , 
2023/2/5, , 11, 11, 3, 
2023/2/6, , 28, 16, , 
2023/2/7, , 42, 17, 6, 
2023/2/8, , 45, 22, , 
2023/2/9, , 42, 20, 3, 
2023/2/10, , 52, 24, , 
2023/2/11, , 54, 24, 5, 
2023/2/12, , 42, 21, , 
2023/2/13, , 32, 19, 4, 
2023/2/14, , 44, 20, , 
2023/2/15, , 43, 19, 5, 
2023/2/16, , 60, 30, , 
2023/2/17, , 49, 22, 3, 
2023/2/18, , 46, 9, , 
2023/2/19, , 28, 6, , 
2023/2/20, , 28, 17, , 
2023/2/21, , 31, 11, 2, 
2023/2/22, , 50, 21, , 
2023/2/23, , 57, 23, 5, 
2023/2/24, , 41, 16, , 
2023/2/25, , 20, 12, 3, 
2023/2/26, , 9, 11, , 
2023/2/27, , 21, 16, 3, 
2022/11/22, , 9, 12, 2, 
2022/11/23, , 12, 13, 1, 
2022/11/24, , 43, 18, , 
2022/11/25, , 58, 22, , 
2022/11/26, , 54, 20, , 
2022/11/27, , 41, 12, , 
2022/11/28, , 36, 12, 1, 
2022/11/29, , 34, 14, , 
2022/11/30, , 21, 16, 4, 
